Status,Cidade,UF,Layout de integração,Padrão,Documentação do padrão,Código IBGE,Dados obrigatórios das notas tomadas,Notas tomadas,Login,Senha,Múltiplos serviços,Certificado
Operante,Águas Mornas,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200606,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Agudo,RS,WebService,GOVBR20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019513094,4300109,"Prestador: CNPJ | Tomador: CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Agudos,SP,WebService,ISSONLINE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008811674,3500709,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Disponível,Não necessário
Operante,Agudos do Sul,PR,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4100301,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Alagoinhas,BA,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,2900702,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alcobaça,BA,WebService,SAATRI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360009748913,2900801,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Alegre,ES,WebService,EL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008620534,3200201,Consulta não disponível,Indisponível,Não necessário,Obrigatório,Disponível,Não necessário
Operante,Alegrete,RS,WebService,GOVBR20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019513094,4300406,"Prestador: CNPJ | Tomador: CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Além Paraíba,MG,WebService,ACTCON,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360010293134,3101508,Consulta não disponível,Indisponível,Não necessário,Obrigatório,Indisponível,Não necessário
Operante,Alenquer,PA,WebService,DESENVOLVE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360035546814,1500404,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alexânia,GO,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5200308,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Alfenas,MG,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,3101607,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Alfredo Chaves,ES,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3200300,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alfredo Wagner,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200705,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Alhandra,PB,WebService,ELMARWS,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/6598064024215,2500601,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Almirante Tamandaré,PR,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4100400,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Alpestre,RS,WebService,SIM,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4409552081687,4300505,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alpinópolis,MG,WebService,ERECEITA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4409708212503,3101904,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alta Floresta,MT,WebService,COPLAN,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4407191133719,5100250,"Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Obrigatório,Indisponível,Obrigatório
Operante,Alta Floresta D´Oeste,RO,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,1100015,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Altamira,PA,WebService,DESENVOLVE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360035546814,1500602,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alterosa,MG,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,3102001,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Altinópolis,SP,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,3501004,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Alto Araguaia,MT,WebService,COPLAN,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4407191133719,5100300,"Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Obrigatório,Indisponível,Obrigatório
Operante,Alto Bela Vista,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200754,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Alto Garças,MT,WebService,COPLAN,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4407191133719,5100409,"Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Obrigatório,Indisponível,Obrigatório
Operante,Alto Horizonte,GO,WebService,ARRECADANET,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360038729374,5200555,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Altônia,PR,WebService,GOVBR20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019513094,4100509,"Prestador: CNPJ | Tomador: CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alto Paraíso de Goiás,GO,WebService,ARRECADANET,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360038729374,5200605,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alto Paraná,PR,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4100608,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Altos,PI,WebService,FISCO20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/1500011380942,2200400,"Prestador - CNPJ, Inscricao Municipal | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alumínio,SP,WebService,SIL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008552814,3501152,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Disponível,Obrigatório
Operante,Álvares Machado,SP,WebService,GOVBR20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019513094,3501301,"Prestador: CNPJ | Tomador: CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Alvinlândia,SP,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,3501509,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Alvorada,RS,WebService,IPM20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4816664198807,4300604,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Alvorada do Sul,PR,WebService,EQUIPLANO,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360018060294,4100806,Consulta não disponível,Indisponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Amambai,MS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5000609,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Amargosa,BA,WebService,SAATRI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360009748913,2901007,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Americana,SP,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,3501608,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Américo Brasiliense,SP,WebService,EDDYDATA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360040840634,3501707,Consulta não disponível,Indisponível,Não necessário,Obrigatório,Disponível,Não necessário
Operante,Américo de Campos,SP,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,3501806,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Ametista do Sul,RS,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4300646,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Amparo,SP,WebService,GOVDIGITAL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008818214-Documentacao-Tecnica-Padrao-GOVDIGITAL,3501905,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Ampére,PR,WebService,PUBLICA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019701173,4101002,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Analândia,SP,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,3502002,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Ananindeua,PA,WebService,DESENVOLVE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360035546814,1500800,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Anápolis,GO,WebService,ISSNETONLINE20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/10904276275991,5201108,"Prestador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Anastácio,MS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5000708,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Anaurilândia,MS,WebService,AGILI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360010293394,5000807,Consulta não disponível,Indisponível,Não necessário,Obrigatório,Disponível,Obrigatório
Operante,Anchieta,ES,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3200409,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Anchieta,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4200804,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Andirá,PR,WebService,MAISISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360044043094,4101101,Consulta não disponível,Indisponível,Não necessário,Obrigatório,Disponível,Obrigatório
Operante,Andorinha,BA,WebService,FISCO,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360009313253,2901353,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Andradas,MG,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,3102605,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Andradina,SP,WebService,SISTEMAS4R,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360009645154,3502101,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
Operante,Angicos,RN,WebService,TINUS,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008654153,2400802,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Angra dos Reis,RJ,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,3300100,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Anicuns,GO,WebService,ARRECADANET,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360038729374,5201306,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Anita Garibaldi,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4201000,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Anitápolis,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4201109,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Anta Gorda,RS,WebService,TECNOSISTEMAS,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360019534894,4300703,Consulta não disponível,Indisponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Antônio Carlos,SC,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,4201208,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Antônio Prado,RS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,4300802,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aparecida,PB,WebService,PUBLICSOFT,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360038738174,2500775,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aparecida,SP,WebService,SIL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360058482394,3502507,"Tomador: CpfCnpj, InscricaoMunicipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Aparecida de Goiânia,GO,WebService,ISSNETONLINE20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/10904276275991,5201405,"Prestador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Aparecida do Rio Doce,GO,WebService,CENTI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360018791234,5201454,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aparecida do Taboado,MS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5001003,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Apiacá,ES,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3200508,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Apiacás,MT,WebService,BETHA,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360007788134,5100805,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Disponível,Obrigatório
Operante,Apiaí,SP,WebService,ISSONLINE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008811674,3502705,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Disponível,Não necessário
Operante,Apiúna,SC,WebService,IPM20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4816664198807,4201257,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aporé,GO,WebService,CENTI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360018791234,5201504,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Apucarana,PR,WebService,IPM20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4816664198807,4101408,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aquidabã,SE,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,2800209,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Aquidauana,MS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5001102,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aquiraz,CE,WebService,INTERSOL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008818054,2301000,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Não necessário
Operante,Arabutã,SC,WebService,IPM20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/4816664198807,4201273,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aracaju,SE,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,2800308,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Araçariguama,SP,WebService,CECAM,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360036768714,3502754,Consulta não disponível,Indisponível,Não necessário,Obrigatório,Indisponível,Não necessário
Operante,Aracati,CE,WebService,INTERSOL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008818054,2301109,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Não necessário
Operante,Araçatuba,SP,WebService,ISSONLINE,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008811674,3502804,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Disponível,Não necessário
Operante,Araci,BA,WebService,ATIV,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360023022674,2902104,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Disponível,Não necessário
Operante,Araçoiaba da Serra,SP,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,3502903,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Aracruz,ES,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3200607,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Araçuaí,MG,WebService,EL20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360024304353,3103405,"CNPJ,Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Araguaína,TO,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,1702109,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Araguari,MG,WebService,GOVDIGITAL,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008818214-Documentacao-Tecnica-Padrao-GOVDIGITAL,3103504,"Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Araguatins,TO,WebService,WEBISS20,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008653053,1702208,"Prestador - Certificado | Tomador - CpfCnpj, Inscricao Municipal",Disponível,Não necessário,Não necessário,Indisponível,Obrigatório
Operante,Aral Moreira,MS,WebService,FIORILLI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/360008510853,5001243,"Prestador - CNPJ | Tomador - CNPJ, Inscricao Municipal",Disponível,Obrigatório,Obrigatório,Indisponível,Obrigatório
Operante,Arandu,SP,WebService,ISSMAPAPI,https://atendimento.tecnospeed.com.br/hc/pt-br/articles/1500006070561,3503109,Consulta não disponível,Indisponível,Obrigatório,Obrigatório,Indisponível,Não necessário
